iter	Passed	Remaining
731	84009	30757
732	84099	30633
733	84174	30504
734	84254	30377
735	84337	30251
736	84419	30125
737	84496	29997
738	84575	29870
739	84655	29743
740	84735	29617
741	84812	29490
742	84888	29362
743	84968	29236
744	85040	29107
745	85121	28982
746	85204	28857
747	85287	28733
748	85365	28607
749	85441	28480
750	85525	28356
751	85608	28232
752	85684	28106
753	85774	27984
754	85850	27858
755	85924	27732
756	86003	27607
757	86080	27482
758	86160	27357
759	86244	27235
760	86317	27108
761	86393	26983
762	86467	26858
763	86549	26735
764	86627	26611
765	86706	26487
766	86787	26364
767	86865	26240
768	86938	26115
769	87019	25992
770	87125	25877
771	87228	25761
772	87332	25646
773	87433	25529
774	87542	25415
775	87634	25296
776	87734	25179
777	87830	25062
778	87930	24945
779	88004	24821
780	88111	24707
781	88190	24585
782	88319	24476
783	88429	24363
784	88545	24251
785	88644	24134
786	88735	24016
787	88862	23907
788	89028	23808
789	89146	23697
790	89282	23590
791	89454	23493
792	89597	23387
793	89738	23282
794	89858	23171
795	89972	23058
796	90081	22944
797	90210	22835
798	90334	22725
799	90441	22610
800	90546	22495
801	90668	22384
802	90782	22271
803	90914	22163
804	91025	22049
805	91132	21935
806	91235	21819
807	91334	21703
808	91433	21586
809	91547	21474
810	91654	21359
811	91764	21245
812	91870	21131
813	91992	21020
814	92461	20988
815	92664	20894
816	92789	20783
817	92901	20670
818	93032	20560
819	93141	20445
820	93259	20333
821	93370	20218
822	93490	20106
823	93604	19993
824	93710	19878
825	93814	19762
826	93922	19647
827	94023	19531
828	94126	19415
829	94221	19298
830	94369	19191
831	94724	19126
832	95006	19046
833	95474	19003
834	95881	18946
835	96155	18863
836	96508	18794
837	96675	18689
838	97458	18701
839	97652	18600
840	97774	18485
841	97890	18368
842	98012	18253
843	98143	18140
844	98280	18027
845	98399	17911
846	98531	17798
847	98651	17682
848	98764	17565
849	98873	17448
850	98986	17331
851	99092	17213
852	99207	17096
853	99316	16979
854	99413	16859
855	99534	16744
856	99696	16635
857	99833	16522
858	99940	16404
859	100041	16285
860	100153	16168
861	100254	16050
862	100358	15931
863	100460	15813
864	100564	15694
865	100688	15579
866	100800	15463
867	100934	15349
868	101038	15231
869	101134	15112
870	101217	14990
871	101306	14870
872	101399	14751
873	101490	14631
874	101578	14511
875	101659	14390
876	101739	14269
877	101823	14148
878	101900	14027
879	101986	13907
880	102079	13788
881	102164	13668
882	102252	13548
883	102333	13428
884	102413	13307
885	102498	13188
886	102702	13083
887	102805	12966
888	102888	12846
889	102980	12727
890	103068	12608
891	103150	12489
892	103261	12372
893	103341	12252
894	103415	12132
895	103496	12012
896	103586	11894
897	103673	11775
898	103757	11656
899	103848	11538
900	103940	11420
901	104023	11301
902	104108	11183
903	104190	11064
904	104284	10946
905	104376	10829
906	104468	10711
907	104568	10595
908	104658	10477
909	104757	10360
910	104846	10242
911	104937	10125
912	105033	10008
913	105122	9891
914	105227	9775
915	105335	9659
916	105547	9553
917	105774	9448
918	105937	9337
